time_s,h_plus,h_cross,amplitude,frequency_Hz
3.9400788016e-03,-2.5300187653e-22,-2.3440033420e-22,3.4489631224e-22,30.373488
3.9600792016e-03,-2.5211608107e-22,-2.3537433291e-22,3.4491099566e-22,30.375427
3.9800796016e-03,-2.5122648074e-22,-2.3634504779e-22,3.4492568220e-22,30.377367
4.0000800016e-03,-2.5033308743e-22,-2.3731246380e-22,3.4494037186e-22,30.379308
4.0200804016e-03,-2.4943591312e-22,-2.3827656594e-22,3.4495506466e-22,30.381249
4.0400808016e-03,-2.4853496983e-22,-2.3923733924e-22,3.4496976058e-22,30.383191
4.0600812016e-03,-2.4763026964e-22,-2.4019476878e-22,3.4498445964e-22,30.385132
4.0800816016e-03,-2.4672182468e-22,-2.4114883969e-22,3.4499916182e-22,30.387075
4.1000820016e-03,-2.4580964717e-22,-2.4209953713e-22,3.4501386715e-22,30.389018
4.1200824016e-03,-2.4489374937e-22,-2.4304684631e-22,3.4502857560e-22,30.390961
4.1400828017e-03,-2.4397414358e-22,-2.4399075249e-22,3.4504328719e-22,30.392905
4.1600832017e-03,-2.4305084220e-22,-2.4493124095e-22,3.4505800192e-22,30.394849
4.1800836017e-03,-2.4212385766e-22,-2.4586829705e-22,3.4507271979e-22,30.396794
4.2000840017e-03,-2.4119320245e-22,-2.4680190616e-22,3.4508744079e-22,30.398739
4.2200844017e-03,-2.4025888914e-22,-2.4773205371e-22,3.4510216494e-22,30.400684
4.2400848017e-03,-2.3932093033e-22,-2.4865872518e-22,3.4511689223e-22,30.402631
4.2600852017e-03,-2.3837933869e-22,-2.4958190608e-22,3.4513162266e-22,30.404577
4.2800856017e-03,-2.3743412697e-22,-2.5050158198e-22,3.4514635623e-22,30.406524
4.3000860017e-03,-2.3648530793e-22,-2.5141773848e-22,3.4516109295e-22,30.408471
4.3200864017e-03,-2.3553289444e-22,-2.5233036123e-22,3.4517583282e-22,30.410419
4.3400868017e-03,-2.3457689939e-22,-2.5323943595e-22,3.4519057584e-22,30.412368
4.3600872017e-03,-2.3361733574e-22,-2.5414494836e-22,3.4520532200e-22,30.414316
4.3800876018e-03,-2.3265421652e-22,-2.5504688427e-22,3.4522007131e-22,30.416266
4.4000880018e-03,-2.3168755479e-22,-2.5594522951e-22,3.4523482378e-22,30.418215
4.4200884018e-03,-2.3071736369e-22,-2.5683996996e-22,3.4524957940e-22,30.420166
4.4400888018e-03,-2.2974365640e-22,-2.5773109156e-22,3.4526433817e-22,30.422116
4.4600892018e-03,-2.2876644618e-22,-2.5861858028e-22,3.4527910010e-22,30.424067
4.4800896018e-03,-2.2778574633e-22,-2.5950242215e-22,3.4529386518e-22,30.426019
4.5000900018e-03,-2.2680157019e-22,-2.6038260325e-22,3.4530863342e-22,30.427971
4.5200904018e-03,-2.2581393120e-22,-2.6125910969e-22,3.4532340482e-22,30.429923
4.5400908018e-03,-2.2482284282e-22,-2.6213192764e-22,3.4533817938e-22,30.431876
4.5600912018e-03,-2.2382831857e-22,-2.6300104332e-22,3.4535295710e-22,30.433830
4.5800916018e-03,-2.2283037204e-22,-2.6386644300e-22,3.4536773799e-22,30.435783
4.6000920018e-03,-2.2182901686e-22,-2.6472811299e-22,3.4538252203e-22,30.437738
4.6200924018e-03,-2.2082426673e-22,-2.6558603965e-22,3.4539730925e-22,30.439693
4.6400928019e-03,-2.1981613540e-22,-2.6644020940e-22,3.4541209962e-22,30.441648
